****************************************
Report : power
        -cell
        -analysis_effort low
        -sort_mode cell_internal_power
Design : sipisoAluControl_generic
Version: Z-2007.03-SP1
Date   : Mon Apr 25 12:46:27 2016
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /home/mariagrazia.graziano/do/libnangate/NangateOpenCellLibrary_typical_ecsm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
sipisoAluControl_generic
                       5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      h  -  Hierarchical cell

                        Cell      Driven Net  Tot Dynamic      Cell
                        Internal  Switching   Power            Leakage
Cell                    Power     Power       (% Cell/Tot)     Power      Attrs
--------------------------------------------------------------------------------
U254                       1.3116    0.3320      1.644 (80%)     36.1839   
U257                       1.3094    0.3324      1.642 (80%)     31.1949   
U253                       1.3061    0.3304      1.636 (80%)     36.3759   
U261                       1.2846    0.3239      1.608 (80%)     31.2179   
U266                       1.2846    0.3239      1.608 (80%)     31.2179   
U271                       1.2846    0.3239      1.608 (80%)     31.2179   
U276                       1.2846    0.3239      1.608 (80%)     31.2179   
U286                       1.2846    0.3239      1.608 (80%)     31.2179   
U291                       1.2846    0.3239      1.608 (80%)     31.2179   
U296                       1.2846    0.3239      1.608 (80%)     31.2179   
U301                       1.2846    0.3239      1.608 (80%)     31.2179   
U306                       1.2846    0.3239      1.608 (80%)     31.2179   
U311                       1.2846    0.3239      1.608 (80%)     31.2179   
U361                       1.2846    0.3239      1.608 (80%)     31.2179   
U366                       1.2846    0.3239      1.608 (80%)     31.2179   
U281                       1.2845    0.3239      1.608 (80%)     31.2179   
U316                       1.2845    0.3239      1.608 (80%)     31.2179   
U321                       1.2845    0.3239      1.608 (80%)     31.2179   
U326                       1.2845    0.3239      1.608 (80%)     31.2179   
U331                       1.2845    0.3239      1.608 (80%)     31.2179   
U336                       1.2845    0.3239      1.608 (80%)     31.2179   
U341                       1.2845    0.3239      1.608 (80%)     31.2179   
U346                       1.2845    0.3239      1.608 (80%)     31.2179   
U351                       1.2845    0.3239      1.608 (80%)     31.2179   
U356                       1.2845    0.3239      1.608 (80%)     31.2179   
U371                       1.2845    0.3239      1.608 (80%)     31.2179   
U376                       1.2845    0.3239      1.608 (80%)     31.2179   
U381                       1.2845    0.3239      1.608 (80%)     31.2179   
U386                       1.2845    0.3239      1.608 (80%)     31.2179   
U391                       1.2845    0.3239      1.608 (80%)     31.2179   
U396                       1.2845    0.3239      1.608 (80%)     31.2179   
U401                       1.2845    0.3239      1.608 (80%)     31.2179   
U406                       1.2845    0.3239      1.608 (80%)     31.2179   
U411                       1.2845    0.3239      1.608 (80%)     31.2179   
U416                       1.2845    0.3239      1.608 (80%)     31.2179   
U258                       1.2727    0.3327      1.605 (79%)     35.5171   
U262                       1.2399    0.3235      1.563 (79%)     37.7481   
U267                       1.2399    0.3235      1.563 (79%)     37.7481   
U272                       1.2399    0.3235      1.563 (79%)     37.7481   
U277                       1.2399    0.3235      1.563 (79%)     37.7481   
U282                       1.2399    0.3235      1.563 (79%)     37.7481   
U287                       1.2399    0.3235      1.563 (79%)     37.7481   
U292                       1.2399    0.3235      1.563 (79%)     37.7481   
U297                       1.2399    0.3235      1.563 (79%)     37.7481   
U302                       1.2399    0.3235      1.563 (79%)     37.7481   
U307                       1.2399    0.3235      1.563 (79%)     37.7481   
U312                       1.2399    0.3235      1.563 (79%)     37.7481   
U317                       1.2399    0.3235      1.563 (79%)     37.7481   
U322                       1.2399    0.3235      1.563 (79%)     37.7481   
U327                       1.2399    0.3235      1.563 (79%)     37.7481   
U332                       1.2399    0.3235      1.563 (79%)     37.7481   
U337                       1.2399    0.3235      1.563 (79%)     37.7481   
U342                       1.2399    0.3235      1.563 (79%)     37.7481   
U347                       1.2399    0.3235      1.563 (79%)     37.7481   
U352                       1.2399    0.3235      1.563 (79%)     37.7481   
U357                       1.2399    0.3235      1.563 (79%)     37.7481   
U362                       1.2399    0.3235      1.563 (79%)     37.7481   
U367                       1.2399    0.3235      1.563 (79%)     37.7481   
U372                       1.2399    0.3235      1.563 (79%)     37.7481   
U377                       1.2399    0.3235      1.563 (79%)     37.7481   
U382                       1.2399    0.3235      1.563 (79%)     37.7481   
U387                       1.2399    0.3235      1.563 (79%)     37.7481   
U392                       1.2399    0.3235      1.563 (79%)     37.7481   
U397                       1.2399    0.3235      1.563 (79%)     37.7481   
U402                       1.2399    0.3235      1.563 (79%)     37.7481   
U407                       1.2399    0.3235      1.563 (79%)     37.7481   
U412                       1.2399    0.3235      1.563 (79%)     37.7481   
U417                       1.2399    0.3235      1.563 (79%)     37.7481   
next_counter_reg[0]        1.2348    0.0397      1.274 (97%)     38.9030   
next_counter_reg[1]        1.2041 9.160e-03      1.213 (99%)     38.7592   
next_counter_reg[2]        1.1884 2.124e-04      1.189 (100%)    38.7383   
next_counter_reg[3]        1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[4]        1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[5]        1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[6]        1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[7]        1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[8]        1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[9]        1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[10]       1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[11]       1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[12]       1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[13]       1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[14]       1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[15]       1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[16]       1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[17]       1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[18]       1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[19]       1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[20]       1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[21]       1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[22]       1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[23]       1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[24]       1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[25]       1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[26]       1.1882    0.0000      1.188 (100%)    38.7373   
