 
****************************************
Report : power
        -cell
        -analysis_effort low
        -sort_mode cell_internal_power
Design : SIPISOALU_generic_nbit32
Version: Z-2007.03-SP1
Date   : Thu Apr 28 12:13:42 2016
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /home/mariagrazia.graziano/do/libnangate/NangateOpenCellLibrary_typical_ecsm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
SIPISOALU_generic_nbit32
                       5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      h  -  Hierarchical cell

                        Cell      Driven Net  Tot Dynamic      Cell
                        Internal  Switching   Power            Leakage
Cell                    Power     Power       (% Cell/Tot)     Power      Attrs
--------------------------------------------------------------------------------
U951                    2.993e-03 1.458e-03   4.45e-03 (67%)     13.5942   
U954                    2.993e-03 1.458e-03   4.45e-03 (67%)     13.5942   
U883                    2.992e-03 1.410e-03   4.40e-03 (68%)     13.5863   
U886                    2.992e-03 1.410e-03   4.40e-03 (68%)     13.5942   
U892                    2.992e-03 1.410e-03   4.40e-03 (68%)     13.5942   
U900                    2.992e-03 1.410e-03   4.40e-03 (68%)     13.5942   
U764                    2.869e-03 1.195e-03   4.06e-03 (71%)     48.2360   
U765                    2.868e-03 9.848e-04   3.85e-03 (74%)     48.2360   
U766                    2.866e-03 1.195e-03   4.06e-03 (71%)     48.2365   
U771                    2.858e-03 1.195e-03   4.05e-03 (71%)     48.2372   
U851                    2.578e-03 1.062e-03   3.64e-03 (71%)     48.2416   
U770                    2.576e-03 8.754e-04   3.45e-03 (75%)     48.2416   
U796                    2.573e-03 1.062e-03   3.63e-03 (71%)     48.2374   
U850                    2.560e-03 1.062e-03   3.62e-03 (71%)     48.2374   
U853                    2.560e-03 1.062e-03   3.62e-03 (71%)     48.2374   
U849                    2.560e-03 1.062e-03   3.62e-03 (71%)     48.2374   
U761                    2.555e-03 1.062e-03   3.62e-03 (71%)     48.2374   
U772                    2.555e-03 1.062e-03   3.62e-03 (71%)     48.2374   
U763                    2.555e-03 1.062e-03   3.62e-03 (71%)     48.2374   
U768                    2.555e-03 1.062e-03   3.62e-03 (71%)     48.2374   
U854                    2.555e-03 1.062e-03   3.62e-03 (71%)     48.2374   
U767                    2.554e-03 8.754e-04   3.43e-03 (74%)     48.2374   
U830                    1.921e-03 1.430e-03   3.35e-03 (57%)     16.3337   
U831                    1.921e-03 1.430e-03   3.35e-03 (57%)     16.3337   
U832                    1.921e-03 1.430e-03   3.35e-03 (57%)     16.3337   
U833                    1.921e-03 1.430e-03   3.35e-03 (57%)     16.3337   
U836                    1.921e-03 1.430e-03   3.35e-03 (57%)     16.3337   
U839                    1.921e-03 1.430e-03   3.35e-03 (57%)     16.3337   
U841                    1.921e-03 1.430e-03   3.35e-03 (57%)     16.3337   
U843                    1.921e-03 1.430e-03   3.35e-03 (57%)     16.3337   
U846                    1.921e-03 1.430e-03   3.35e-03 (57%)     16.3337   
U857                    1.921e-03 1.430e-03   3.35e-03 (57%)     16.3337   
U858                    1.921e-03 1.430e-03   3.35e-03 (57%)     16.3337   
U859                    1.921e-03 1.430e-03   3.35e-03 (57%)     16.3337   
U863                    1.921e-03 1.430e-03   3.35e-03 (57%)     16.3337   
U865                    1.921e-03 1.430e-03   3.35e-03 (57%)     16.3337   
U866                    1.921e-03 1.430e-03   3.35e-03 (57%)     16.3337   
U847                    1.919e-03 1.430e-03   3.35e-03 (57%)     16.3337   
U718                    1.908e-03 1.430e-03   3.34e-03 (57%)     16.3337   
U834                    1.908e-03 1.430e-03   3.34e-03 (57%)     16.3337   
U835                    1.908e-03 1.430e-03   3.34e-03 (57%)     16.3337   
U837                    1.908e-03 1.430e-03   3.34e-03 (57%)     16.3337   
U838                    1.908e-03 1.430e-03   3.34e-03 (57%)     16.3337   
U840                    1.908e-03 1.430e-03   3.34e-03 (57%)     16.3337   
U842                    1.908e-03 1.430e-03   3.34e-03 (57%)     16.3337   
U844                    1.908e-03 1.430e-03   3.34e-03 (57%)     16.3337   
U845                    1.908e-03 1.430e-03   3.34e-03 (57%)     16.3337   
U860                    1.908e-03 1.430e-03   3.34e-03 (57%)     16.3337   
U861                    1.908e-03 1.430e-03   3.34e-03 (57%)     16.3337   
U862                    1.908e-03 1.430e-03   3.34e-03 (57%)     16.3337   
U864                    1.908e-03 1.430e-03   3.34e-03 (57%)     16.3337   
U904                    1.833e-03 1.062e-03   2.89e-03 (63%)     37.1801   
U907                    1.833e-03 1.062e-03   2.89e-03 (63%)     37.1801   
U931                    1.833e-03 1.062e-03   2.89e-03 (63%)     37.1801   
U916                    1.833e-03 1.062e-03   2.89e-03 (63%)     37.1801   
U940                    1.833e-03 1.062e-03   2.89e-03 (63%)     37.1801   
U898                    1.833e-03 1.062e-03   2.89e-03 (63%)     37.1801   
U934                    1.833e-03 1.062e-03   2.89e-03 (63%)     37.1801   
U955                    1.833e-03 1.062e-03   2.89e-03 (63%)     37.1801   
U925                    1.833e-03 1.062e-03   2.89e-03 (63%)     37.1801   
U928                    1.833e-03 1.062e-03   2.89e-03 (63%)     37.1801   
U937                    1.833e-03 1.062e-03   2.89e-03 (63%)     37.1801   
U952                    1.833e-03 1.062e-03   2.89e-03 (63%)     37.1801   
